PERMNO,DelistingDt,DelDtPrc,DelDtPrcFlg,DelActionType,DelStatusType,DelReasonType,DelPaymentType,DelPERMNO,DelPERMCO,DelRet,DelRetMissType,DelNextDt,DelNextPrc,DelNextPrcFlg,DelAmtDt,DelDivAmt,DelDisType,DelDlyDt,PrimaryExch,SICCD,NASDIssuno
20152,2022-11-23,10.040000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000960,NA,,,DA,2022-11-25,10.049640,D1,2022-11-25,Q,9999,82665
20155,2024-03-11,5.750000,TR,MER,FPAY,UNAV,CASH,0,0,0.000000,NA,,,DA,2024-03-12,5.750000,D1,2024-03-12,Q,9999,81921
20156,2022-04-29,10.090000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000991,NA,,,DA,2022-05-02,10.100000,D1,2022-05-02,Q,9999,81403
20157,2024-04-23,29.450000,TR,MER,FPAY,UNAV,CASH,0,0,0.001698,NA,,,DA,2024-04-24,29.500000,D1,2024-04-24,Q,9999,82607
20158,2022-09-30,10.010000,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.000999,NA,,,DA,2022-10-03,10.000000,D1,2022-10-03,Q,9999,82171
20162,2022-02-25,11.600000,TR,GDR,VCL,FING,PRCF,0,0,,DM,,,DM,,,NO,2022-02-28,Q,9999,82318
20165,2021-09-14,9.410000,TR,MER,FPAY,UNAV,STK,21940,58732,-0.010627,NA,,,DA,2021-09-15,9.310000,D1,2021-09-15,Q,9999,82082
20166,2022-10-04,10.115000,BA,GLI,FPAY,UNAV,UNAV,0,0,0.000494,NA,,,DA,2022-10-05,10.120000,D1,2022-10-05,Q,9999,81888
20170,2021-10-11,31.285000,BA,GLI,FPAY,UNAV,UNAV,0,0,0.000693,NA,,,DA,2021-10-12,31.306670,D1,2021-10-12,Q,6726,82419
20172,2023-06-14,0.065000,TR,GDR,VCL,FING,PRCF,0,0,-0.492308,NA,2023-06-15,0.033000,DP,2023-06-15,0.000000,NO,2023-06-15,Q,9999,82100
20174,2021-10-28,10.860000,TR,MER,FPAY,UNAV,STK,22220,58872,0.008287,NA,,,DA,2021-10-29,10.950000,D1,2021-10-29,Q,9999,82164
20177,2021-08-30,10.060000,TR,MER,FPAY,UNAV,STK,21834,58652,0.018887,NA,,,DA,2021-08-31,10.250000,D1,2021-08-31,Q,9999,81916
20182,2021-10-11,30.561900,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001804,NA,,,DA,2021-10-12,30.617020,D1,2021-10-12,Q,6726,82420
20186,2024-04-02,2.650000,TR,MER,FPAY,UNAV,CSHN,0,8254,-0.023434,MV,,,DA,2024-04-03,0.000000,D2,2024-04-03,Q,9999,82714
20191,2024-06-27,39.080000,TR,MER,FPAY,UNAV,CASH,0,52388,0.001024,NA,,,DA,2024-06-28,39.120000,D1,2024-06-28,N,6798,0
20197,2017-06-23,10.550000,TR,GEX,FPAY,UNAV,STK,15656,55408,0.044550,NA,,,DA,2017-06-26,11.020000,D1,2017-06-26,Q,9999,99995070
20199,2022-10-28,19.100100,TR,GLI,FPAY,UNAV,UNAV,0,0,0.002392,NA,,,DA,2022-10-31,19.145790,D1,2022-10-31,R,6726,0
20201,2023-05-12,19.734700,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000361,NA,,,DA,2023-05-15,19.741830,D1,2023-05-15,B,6726,0
20202,2023-11-10,20.005000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000853,NA,,,DA,2023-11-13,20.022060,D1,2023-11-13,B,6726,0
20206,2022-10-03,14.261000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.003644,NA,,,DA,2022-10-04,14.312960,D1,2022-10-04,R,6726,0
20209,2022-08-05,8.660000,TR,MER,FPAY,UNAV,STK,23263,59354,0.679137,NA,,,DA,2022-08-08,14.541330,D1,2022-08-08,N,6799,0
20211,2022-09-23,18.170100,TR,GLI,FPAY,UNAV,UNAV,0,0,0.001069,NA,,,DA,2022-09-26,18.189530,D1,2022-09-26,R,6726,0
20214,2024-09-26,22.490000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000877,NA,,,DA,2024-09-27,22.509716,D2,2024-09-27,R,6726,0
20216,2024-02-14,33.597000,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.000049,NA,,,DA,2024-02-15,33.595370,D1,2024-02-15,R,6726,0
20223,2024-10-30,15.375000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.004189,NA,,,DA,2024-10-31,15.439400,D1,2024-10-31,R,6726,0
20224,2023-03-30,10.170000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000100,NA,,,DA,2023-03-31,10.171020,D1,2023-03-31,B,6726,0
20226,2023-03-30,10.050100,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000592,NA,,,DA,2023-03-31,10.056050,D1,2023-03-31,B,6726,0
20227,2023-03-30,12.480000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000182,NA,,,DA,2023-03-31,12.482270,D1,2023-03-31,B,6726,0
20229,2024-03-14,14.725100,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.000530,NA,,,DA,2024-03-15,14.717300,D1,2024-03-15,R,6726,0
20232,2022-02-01,14.753500,TR,GLI,FPAY,UNAV,UNAV,0,0,0.003310,NA,,,DA,2022-02-02,14.802330,D1,2022-02-02,B,6726,0
